Time,O,H,L,C,V
2020.10.21 14:00, 1.18585,1.18605,1.18553,1.18588,1391
2020.10.21 13:00, 1.18445,1.18592,1.18422,1.18585,3889
2020.10.21 12:00, 1.18498,1.18556,1.18431,1.18443,5357
2020.10.21 11:00, 1.1867,1.1867,1.18487,1.185,5654
2020.10.21 10:00, 1.18545,1.18696,1.18468,1.18668,6831
2020.10.21 09:00, 1.18453,1.18623,1.18428,1.18547,4618
2020.10.21 08:00, 1.18472,1.18492,1.18421,1.18453,1448
2020.10.21 07:00, 1.18464,1.18491,1.18438,1.18469,1188
2020.10.21 06:00, 1.18374,1.18478,1.18366,1.18462,1872
2020.10.21 05:00, 1.1835,1.1843,1.18344,1.18376,1835
