Time,O,H,L,C,V
2021.04.02 21:00, 1.17611,1.17639,1.17599,1.17599,322
2021.04.02 20:00, 1.17621,1.1763,1.17606,1.17617,272
2021.04.02 19:00, 1.176,1.17621,1.17589,1.17619,428
2021.04.02 18:00, 1.1759,1.17611,1.17569,1.17601,458
2021.04.02 17:00, 1.17571,1.17601,1.17547,1.17589,529
2021.04.02 16:00, 1.17672,1.17673,1.17528,1.17568,430
2021.04.02 15:00, 1.17681,1.17682,1.17487,1.17667,695
2021.04.02 14:00, 1.17733,1.17846,1.17559,1.17678,942
2021.04.02 13:00, 1.17768,1.17797,1.17712,1.17728,209
2021.04.02 12:00, 1.17788,1.17813,1.17751,1.17772,192
