,Creation Time,Terminal Time,Current Time,X,Y,Z,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Symbol
0,2020-08-04 10:40:09.884000,2020-08-04 10:40:09.894000,2020-08-04 10:40:10.232052,10.0,338.052,348.052,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
1,2020-08-04 10:40:09.991100,2020-08-04 10:40:10.001100,2020-08-04 10:40:10.257051,10.0,255.951,265.951,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
2,2020-08-04 10:40:10.114000,2020-08-04 10:40:10.124000,2020-08-04 10:40:10.283074,10.0,159.074,169.074,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
3,2020-08-04 10:40:10.178000,2020-08-04 10:40:10.188000,2020-08-04 10:40:10.309074,10.0,121.074,131.074,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
4,2020-08-04 10:40:10.210000,2020-08-04 10:40:10.220000,2020-08-04 10:40:10.335051,10.0,115.051,125.051,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
5,2020-08-04 10:40:10.319000,2020-08-04 10:40:10.329000,2020-08-04 10:40:10.362050,10.0,33.05,43.05,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
6,2020-08-04 10:40:10.426000,2020-08-04 10:40:10.436000,2020-08-04 10:40:10.440075,10.0,4.075,14.075,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
7,2020-08-04 10:40:10.534000,2020-08-04 10:40:10.544000,2020-08-04 10:40:10.548074,10.0,4.074,14.074,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
8,2020-08-04 10:40:10.647000,2020-08-04 10:40:10.657000,2020-08-04 10:40:10.661080,10.0,4.08,14.08,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
9,2020-08-04 10:40:10.752000,2020-08-04 10:40:10.762000,2020-08-04 10:40:10.766081,10.0,4.081,14.081,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
10,2020-08-04 10:40:10.863000,2020-08-04 10:40:10.873000,2020-08-04 10:40:10.877081,10.0,4.081,14.081,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
11,2020-08-04 10:40:10.986000,2020-08-04 10:40:10.996000,2020-08-04 10:40:11.001076,10.0,5.076,15.076,1.17774,1.17788,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
12,2020-08-04 10:40:11.067000,2020-08-04 10:40:11.077000,2020-08-04 10:40:11.081076,10.0,4.076,14.076,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
13,2020-08-04 10:40:11.084000,2020-08-04 10:40:11.094000,2020-08-04 10:40:11.107052,10.0,13.052,23.052,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
14,2020-08-04 10:40:11.193000,2020-08-04 10:40:11.203000,2020-08-04 10:40:11.207081,10.0,4.081,14.081,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
15,2020-08-04 10:40:11.302000,2020-08-04 10:40:11.312000,2020-08-04 10:40:11.316080,10.0,4.08,14.08,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
16,2020-08-04 10:40:11.412000,2020-08-04 10:40:11.422000,2020-08-04 10:40:11.426120,10.0,4.12,14.12,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
17,2020-08-04 10:40:11.523000,2020-08-04 10:40:11.533000,2020-08-04 10:40:11.538119,10.0,5.119,15.119,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
18,2020-08-04 10:40:11.629000,2020-08-04 10:40:11.639000,2020-08-04 10:40:11.643140,10.0,4.14,14.14,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
19,2020-08-04 10:40:11.735000,2020-08-04 10:40:11.745000,2020-08-04 10:40:11.749139,10.0,4.139,14.139,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
20,2020-08-04 10:40:11.848000,2020-08-04 10:40:11.858000,2020-08-04 10:40:11.862140,10.0,4.14,14.14,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
21,2020-08-04 10:40:11.954000,2020-08-04 10:40:11.964000,2020-08-04 10:40:11.968142,10.0,4.142,14.142,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
22,2020-08-04 10:40:12.063000,2020-08-04 10:40:12.073000,2020-08-04 10:40:12.078140,10.0,5.14,15.14,1.17776,1.17789,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
23,2020-08-04 10:40:12.136000,2020-08-04 10:40:12.146000,2020-08-04 10:40:12.150141,10.0,4.141,14.141,1.17777,1.1779,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
24,2020-08-04 10:40:12.173000,2020-08-04 10:40:12.183000,2020-08-04 10:40:12.187141,10.0,4.141,14.141,1.17777,1.1779,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
25,2020-08-04 10:40:12.192000,2020-08-04 10:40:12.202000,2020-08-04 10:40:12.213166,10.0,11.166,21.166,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
26,2020-08-04 10:40:12.283000,2020-08-04 10:40:12.293000,2020-08-04 10:40:12.297140,10.0,4.14,14.14,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
27,2020-08-04 10:40:12.405000,2020-08-04 10:40:12.415000,2020-08-04 10:40:12.419142,10.0,4.142,14.142,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
28,2020-08-04 10:40:12.412000,2020-08-04 10:40:12.422000,2020-08-04 10:40:12.447169,10.0,25.169,35.169,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
29,2020-08-04 10:40:12.502000,2020-08-04 10:40:12.512000,2020-08-04 10:40:12.516203,10.0,4.203,14.203,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
30,2020-08-04 10:40:12.610000,2020-08-04 10:40:12.620000,2020-08-04 10:40:12.624179,10.0,4.179,14.179,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
31,2020-08-04 10:40:12.721000,2020-08-04 10:40:12.731000,2020-08-04 10:40:12.735178,10.0,4.178,14.178,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
