Time,O,H,L,C,V
2020.04.17 19:00, 1.08663,1.08783,1.08663,1.08762,594
2020.04.17 18:00, 1.08822,1.08838,1.08587,1.08668,1208
2020.04.17 17:00, 1.08882,1.08898,1.08726,1.08828,1536
2020.04.17 16:00, 1.08852,1.08918,1.08706,1.08887,2100
2020.04.17 15:00, 1.08643,1.08877,1.08596,1.08857,1948
2020.04.17 14:00, 1.08483,1.08726,1.08432,1.08637,1952
2020.04.17 13:00, 1.08356,1.08498,1.08331,1.08476,1279
2020.04.17 12:00, 1.08191,1.08358,1.08111,1.08351,1305
2020.04.17 11:00, 1.08282,1.08297,1.08146,1.08188,1221
2020.04.17 10:00, 1.08277,1.08357,1.08166,1.08287,1495
