,Ask,Bid,BrokerName,Creation Time,Current Time,DR,Protocol,Symbol,Terminal,Terminal Time,TypeBroker,X,Y,Z
0,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:28.686000,2019-12-03 17:04:31.972014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:28.686000,MM,0.0,3286.014,3286.014
1,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:28.794000,2019-12-03 17:04:31.994014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:28.794000,MM,0.0,3200.014,3200.014
2,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:28.916000,2019-12-03 17:04:32.018014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:28.916000,MM,0.0,3102.014,3102.014
3,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.012000,2019-12-03 17:04:32.042014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.012000,MM,0.0,3030.014,3030.014
4,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.126000,2019-12-03 17:04:32.066014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.126000,MM,0.0,2940.014,2940.014
5,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.233000,2019-12-03 17:04:32.089014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.233000,MM,0.0,2856.014,2856.014
6,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.341000,2019-12-03 17:04:32.112014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.341000,MM,0.0,2771.014,2771.014
7,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.449000,2019-12-03 17:04:32.135014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.449000,MM,0.0,2686.014,2686.014
8,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.562000,2019-12-03 17:04:32.158014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.562000,MM,0.0,2596.014,2596.014
9,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.667000,2019-12-03 17:04:32.182014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.667000,MM,0.0,2515.014,2515.014
10,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.777000,2019-12-03 17:04:32.206015,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.777000,MM,0.0,2429.015,2429.015
11,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.885000,2019-12-03 17:04:32.230014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.885000,MM,0.0,2345.014,2345.014
12,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:29.999000,2019-12-03 17:04:32.253014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:29.999000,MM,0.0,2254.014,2254.014
13,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.104000,2019-12-03 17:04:32.276014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.104000,MM,0.0,2172.014,2172.014
14,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.214000,2019-12-03 17:04:32.300014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.214000,MM,0.0,2086.014,2086.014
15,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.324000,2019-12-03 17:04:32.324014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.324000,MM,0.0,2000.014,2000.014
16,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.434000,2019-12-03 17:04:32.347014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.434000,MM,0.0,1913.014,1913.014
17,1.10928,1.10912,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.542000,2019-12-03 17:04:32.370014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.542000,MM,0.0,1828.014,1828.014
18,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.552000,2019-12-03 17:04:32.393014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.552000,MM,0.0,1841.014,1841.014
19,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.666000,2019-12-03 17:04:32.417014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.666000,MM,0.0,1751.014,1751.014
20,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.760000,2019-12-03 17:04:32.442016,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.760000,MM,0.0,1682.016,1682.016
21,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.869000,2019-12-03 17:04:32.466014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.869000,MM,0.0,1597.014,1597.014
22,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:30.983000,2019-12-03 17:04:32.491014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:30.983000,MM,0.0,1508.014,1508.014
23,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.088000,2019-12-03 17:04:32.514015,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.088000,MM,0.0,1426.015,1426.015
24,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.196000,2019-12-03 17:04:32.537014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.196000,MM,0.0,1341.014,1341.014
