Time,O,H,L,C,V
23/09/2019 10:00:00,1.09819,1.0989,1.09787,1.09842,4540
23/09/2019 11:00:00,1.09841,1.0987,1.0976,1.09848,3905
23/09/2019 12:00:00,1.09848,1.09958,1.09827,1.09864,4161
23/09/2019 13:00:00,1.09865,1.09956,1.09798,1.09892,6504
23/09/2019 14:00:00,1.09891,1.09994,1.09826,1.09948,6154
23/09/2019 15:00:00,1.09949,1.09997,1.09889,1.09904,4557
23/09/2019 16:00:00,1.09903,1.09916,1.09838,1.09872,2871
23/09/2019 17:00:00,1.0987,1.09924,1.09859,1.09906,2148
23/09/2019 18:00:00,1.09905,1.0998,1.09879,1.09959,2397
23/09/2019 19:00:00,1.09958,1.0998,1.09927,1.09962,2368
23/09/2019 20:00:00,1.0996,1.0996,1.09917,1.0993,966
23/09/2019 21:00:00,1.0993,1.09978,1.09923,1.09945,442
23/09/2019 22:00:00,1.09946,1.09966,1.09943,1.09954,683
23/09/2019 23:00:00,1.09955,1.09955,1.09909,1.0994,1358
24/09/2019 00:00:00,1.09935,1.09958,1.09894,1.09916,2034
24/09/2019 01:00:00,1.09915,1.09915,1.09868,1.09875,1918
24/09/2019 02:00:00,1.09874,1.09932,1.09867,1.09911,1474
24/09/2019 03:00:00,1.0991,1.09922,1.09878,1.09896,1393
24/09/2019 04:00:00,1.09898,1.09936,1.09891,1.09902,1428
24/09/2019 05:00:00,1.09902,1.0991,1.09875,1.09899,1456
24/09/2019 06:00:00,1.099,1.09934,1.09838,1.09906,3474
24/09/2019 07:00:00,1.09908,1.09962,1.09856,1.09873,4562
24/09/2019 08:00:00,1.09872,1.09961,1.09866,1.0994,5371
24/09/2019 09:00:00,1.09941,1.1,1.09929,1.09986,5212
24/09/2019 10:00:00,1.09984,1.09996,1.09874,1.09878,3960
24/09/2019 11:00:00,1.09877,1.10038,1.09871,1.10013,3071
24/09/2019 12:00:00,1.10014,1.10086,1.10002,1.10067,3696
24/09/2019 13:00:00,1.10066,1.10097,1.09948,1.09972,3981
24/09/2019 14:00:00,1.09971,1.10147,1.0994,1.09983,7923
24/09/2019 15:00:00,1.09982,1.1005,1.09955,1.09991,4689
24/09/2019 16:00:00,1.0999,1.10189,1.0996,1.10143,4952
